KNM.counts,2X,3X,4X,5X,6X,7X,8X,9X,10X,<10X
0,48613,72838,86458,94353,97985,99956,100927,101375,101682,101687
1,33997,24112,14151,7272,3859,1975,1014,567,261,257
2,13809,4421,1251,312,100,13,3,2,1,0
3,4121,510,78,6,0,0,0,0,0,0
4,1050,55,5,1,0,0,0,0,0,0
5,251,7,0,0,0,0,0,0,0,0
6,57,1,1,0,0,0,0,0,0,0
7,23,0,0,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0,0
<8,15,0,0,0,0,0,0,0,0,0
