Subject,Condition,Trial,Segment,Duration,VerticalSize,HorizontalSize,AbsoluteSize,AverageAbsoluteVelocity,AverageNormalizedJerkPerTrial,AveragePenPressure
2,DNM,3,3,0.2656,-0.9467,-1.3573,1.6548,9.6547,63.6888,0
2,DNM,3,4,0.2239,0.2704,0.2879,0.3949,1.8671,63.6888,40.5333
2,DNM,3,5,0.0941,-0.1684,-0.1258,0.2102,2.6067,63.6888,165.632
2,DNM,3,6,0.0778,0.1055,0.2616,0.2821,3.7904,63.6888,152.067
2,DNM,3,7,0.0843,-0.1726,-0.0719,0.187,3.0487,63.6888,94.2941
2,DNM,3,8,0.6779,0.2536,0.6369,0.6855,2.34,63.6888,83.0588
2,DNM,3,9,0.0849,-0.2211,-0.1978,0.2967,3.7433,63.6888,161.588
2,DNM,3,10,0.0591,0.079,0.2388,0.2515,4.5982,63.6888,295.273
2,DNM,3,11,0.0685,-0.1586,-0.1691,0.2319,3.5997,63.6888,230.571
2,DNM,3,12,0.5867,0.1864,0.7312,0.7545,1.6229,63.6888,152.308
2,DNM,3,13,0.0835,-0.0925,0.1412,0.1688,2.3572,63.6888,199.294
2,DNM,3,14,0.2875,0.4803,-0.772,0.9092,6.8603,63.6888,166.19
2,DNM,3,15,0.0501,-0.0688,-0.6576,0.6612,13.0971,63.6888,0
2,DNM,3,16,0.0957,0.2041,1.8972,1.9081,20.405,63.6888,-1
2,DNM,3,17,0.1824,-0.6447,0.233,0.6855,6.5579,63.6888,-0.027778
2,DNM,3,18,0.1879,0.4912,-0.0985,0.501,3.1448,63.6888,12.2895
2,DNM,3,19,0.11,-0.4102,-0.09,0.42,3.846,63.6888,290.864
2,DNM,3,20,0.0997,0.4682,0.2633,0.5371,5.8767,63.6888,334.7
2,DNM,3,21,0.0959,-0.3455,-0.0155,0.3459,4.3472,63.6888,294.474
2,DNM,3,22,0.0857,0.3935,0.438,0.5888,7.0248,63.6888,479.471
2,DNM,3,23,0.0974,-0.8018,-0.1625,0.8181,9.1024,63.6888,366
2,DNM,3,24,0.0683,0.233,0.1178,0.2611,5.2563,63.6888,188.786
2,DNM,3,25,0.0843,-0.1848,-0.5366,0.5675,6.7149,63.6888,0
2,DNM,3,26,0.1304,0.4616,0.7017,0.8399,7.3391,63.6888,192.923
2,DNM,3,27,0.0861,-0.2497,-0.1432,0.2878,3.5004,63.6888,121.294
2,DNM,3,28,0.4716,0.1354,0.3665,0.3907,2.2174,63.6888,189.832
2,DNM,3,29,0.0419,-0.0198,-0.1235,0.1251,3.0276,63.6888,245
2,DNM,3,30,0.1502,0.4709,0.2166,0.5184,3.7463,63.6888,283.167
2,DNM,4,1,0.1112,0.9647,1.3829,1.6861,17.3494,21.352,321.087
2,DNM,4,2,0.1105,-1.9678,-1.0464,2.2287,25.4399,21.352,518.545
2,DNM,4,3,0.0831,0.7652,0.651,1.0047,13.3964,21.352,227.813
2,DNM,4,4,0.062,-0.2011,-0.6154,0.6474,9.8659,21.352,0
2,DNM,4,5,0.1262,0.6132,1.1239,1.2803,10.5668,21.352,203.2
2,DNM,4,6,0.1771,-0.7386,-1.2988,1.4941,8.6799,21.352,28.6944
2,DNM,4,7,0.174,0.4312,0.6948,0.8177,4.8463,21.352,0
2,DNM,4,8,0.0727,-0.0547,-0.0263,0.0607,1.0921,21.352,0
2,DNM,4,9,0.1682,0.2811,0.5485,0.6163,3.8071,21.352,59.4242
2,DNM,4,10,0.0855,-0.3914,-0.4839,0.6224,7.3121,21.352,295.333
2,DNM,4,11,0.0755,0.4282,0.7024,0.8226,10.9132,21.352,359.133
2,DNM,4,12,0.07,-0.3446,-0.2011,0.399,6.4726,21.352,244.143
2,DNM,4,13,0.0616,0.1708,0.3374,0.3781,6.2471,21.352,239.917
2,DNM,4,14,0.0784,-0.1421,0.0167,0.1431,1.8846,21.352,127.063
2,DNM,4,15,0.1252,0.2177,0.1922,0.2904,3.0207,21.352,0
2,DNM,4,16,0.2691,-0.0052,0.1234,0.1235,2.3774,21.352,26.5185
2,DNM,4,17,0.0635,0.1013,0.3454,0.3599,6.1259,21.352,440.083
2,DNM,4,18,0.0858,-0.3904,-0.4484,0.5945,7.6169,21.352,394.529
